Started Training CB and IGL on Wed Aug 18 02:05:45 UTC 2021.
Saving to ../notes/result_2021-08-18_02:05:45.dat
|: -----------------------------------------------------------------------------------------------------:|
|Filename	|	Num Examples	|	CB Loss|IGL Loss	|	IGL Flipped Sign Loss|
ds_42177_nan.vw.gz 		0	n.a.	n.a.	n.a.	
ds_42186_3.vw.gz 		150	0.646667	0.680000	0.680000	
ds_42223_186.vw.gz 		201	0.995025	0.995025	0.995025	
ds_42261_3.vw.gz 		150	0.620000	0.646667	0.646667	
ds_42345_3.vw.gz 		70340	0.504578	0.944157	0.944157	
ds_42396_1000.vw.gz 		108000	0.998833	0.999009	0.998861	
ds_42468_5.vw.gz 		830000	0.571871	0.569071	0.569628	
ds_42532_9.vw.gz 		2778	0.701944	0.716343	0.742981	
ds_42544_8.vw.gz 		265	0.871698	0.898113	0.898113	
ds_42585_3.vw.gz 		344	0.511628	0.712209	0.712209	
ds_42641_5.vw.gz 		18982	0.600516	0.714572	0.628385	
ds_42670_5.vw.gz 		18982	0.635708	0.889527	0.740175	
ds_42700_3.vw.gz 		150	0.700000	0.773333	0.800000	
ds_42718_4.vw.gz 		1000000	0.649051	0.848148	0.840328	
ds_42734_3.vw.gz 		50789	0.312371	0.317392	0.318317	
ds_42746_23.vw.gz 		4898431	0.223329	0.225009	0.225006	
ds_42793_4.vw.gz 		75	0.560000	0.840000	0.840000	
ds_42819_37.0.vw.gz 		
ds_42820_37.vw.gz 		7349	0.969792	0.972377	0.974827	
ds_42_19.vw.gz 		683	0.910688	0.941435	0.957540	
ds_43028_5.vw.gz 		709	0.564175	0.510578	0.510578	
ds_43029_5.vw.gz 		699	0.576538	0.812589	0.814020	
ds_43033_5.vw.gz 		699	0.444921	0.444921	0.444921	
ds_43035_5.vw.gz 		699	0.466381	0.939914	0.949928	
ds_443_5.vw.gz 		95	0.347368	0.347368	0.347368	
ds_449_4.vw.gz 		163	0.392638	0.846626	0.846626	
ds_452_7.vw.gz 		285	0.631579	0.642105	0.642105	
ds_453_5.vw.gz 		57	0.473684	0.473684	0.473684	
ds_454_3.vw.gz 		1340	0.119403	0.119403	0.119403	
ds_4552_102.vw.gz 		5665	0.974228	0.984996	0.998058	
ds_455_3.vw.gz 		406	0.401478	0.497537	0.497537	
ds_457_4.vw.gz 		27	0.629630	0.888889	0.888889	
ds_458_4.vw.gz 		841	0.548157	0.623068	0.623068	
ds_460_3.vw.gz 		379	0.493404	0.493404	0.493404	
ds_462_3.vw.gz 		23	0.391304	0.391304	0.391304	
ds_468_6.vw.gz 		72	0.833333	0.902778	0.902778	
ds_469_6.vw.gz 		797	0.820577	0.836888	0.834379	
ds_46_3.vw.gz 		3190	0.384013	0.445141	0.445141	
ds_473_6.vw.gz 		2796	0.710658	0.945279	0.934549	
ds_474_5.vw.gz 		364	0.747253	0.890110	0.890110	
ds_475_4.vw.gz 		400	0.732500	0.757500	0.815000	
ds_477_5.vw.gz 		67	0.432836	0.432836	0.432836	
ds_480_4.vw.gz 		61	0.377049	0.377049	0.377049	
ds_488_4.vw.gz 		1161	0.481481	0.579673	0.585702	
ds_48_3.vw.gz 		151	0.682119	0.662252	0.662252	
ds_54_4.vw.gz 		846	0.739953	0.770686	0.748227	
ds_554_10.vw.gz 		70000	0.310314	0.310614	0.300214	
ds_57_4.vw.gz 		3772	0.112407	0.112407	0.112407	
ds_5_16.vw.gz 		452	0.497788	0.497788	0.497788	
ds_60_3.vw.gz 		5000	0.257800	0.257400	0.257400	
ds_61_3.vw.gz 		150	0.666667	0.686667	0.686667	
ds_62_7.vw.gz 		101	0.693069	0.910891	0.881188	
ds_679_4.vw.gz 		1024	0.680664	0.838867	0.838867	
ds_685_5.vw.gz 		130	0.730769	0.915385	0.907692	
ds_694_9.vw.gz 		310	0.896774	0.877419	0.877419	
ds_6_26.vw.gz 		20000	0.961000	0.960900	0.965250	
ds_70_6.vw.gz 		1000000	0.270428	0.270896	0.270494	
ds_71_6.vw.gz 		1000000	0.272065	0.272235	0.272358	
ds_74_26.vw.gz 		1000000	0.955003	0.972673	0.971434	
ds_75_7.vw.gz 		1000000	0.660897	0.662260	0.668922	
ds_76_4.vw.gz 		1000000	0.350311	0.350902	0.351377	
